,Magnitude,Scale,Time,Latitude,Longitude
307,3.1,ML,2017-12-26T11:45:40.770000Z,42.725,13.141
308,3.6,ML,2017-12-14T01:59:20.820000Z,36.513,14.643
309,3.8,ML,2017-12-14T01:13:45.540000Z,36.436,14.647
310,3.5,ML,2017-12-13T11:52:16.920000Z,36.506,14.658
311,3.4,ML,2017-12-13T11:18:28.950000Z,36.506,14.694
312,3.1,ML,2017-12-12T20:11:01.490000Z,38.12,14.682
313,3.1,ML,2017-12-12T03:22:33.160000Z,42.434,15.48
314,3.1,ML,2017-12-06T03:57:21.660000Z,38.275,14.8
315,3,ML,2017-12-05T22:22:12.390000Z,42.428,13.458
316,3.4,ML,2017-11-28T21:40:26.020000Z,37.356,18.936
317,3.7,ML,2017-11-27T01:43:06.170000Z,42.065,15.975
318,3.3,ML,2017-11-19T12:10:12.860000Z,44.673,10.044
319,3,ML,2017-11-19T00:45:21.510000Z,41.258,14.899
320,3.5,ML,2017-11-10T15:49:05.290000Z,37.766,14.626
321,3.1,ML,2017-11-06T04:55:53.780000Z,44.233,10.776
322,3.2,ML,2017-11-04T03:22:27.300000Z,38.367,15.523
323,3.7,ML,2017-11-01T23:12:31.280000Z,40.282,13.531
324,3,ML,2017-10-20T20:27:34.530000Z,42.698,13.162
325,3.7,ML,2017-10-18T13:10:55.960000Z,39.8,15.633
326,3.2,ML,2017-10-15T16:43:32.590000Z,42.818,13.073
327,3.5,ML,2017-10-15T09:51:48.170000Z,36.953,16.4
328,3.5,ML,2017-10-14T07:12:21.850000Z,39.002,15.392
329,3.2,ML,2017-10-14T02:02:18.500000Z,42.821,13.075
330,3.2,ML,2017-10-08T11:48:32.620000Z,35.461,15.168
331,3,ML,2017-10-07T22:20:23.560000Z,43.009,13.078
332,3,ML,2017-10-07T11:36:54.690000Z,43.271,10.874
333,3.1,ML,2017-10-05T18:04:50.050000Z,37.918,14.987
334,3.7,ML,2017-10-02T01:26:57.540000Z,38.806,14.983
335,3.1,ML,2017-09-26T01:02:41.190000Z,42.56,13.348
336,3.3,ML,2017-09-23T22:30:41.630000Z,35.411,12.769
337,3.2,ML,2017-09-18T07:21:27.940000Z,37.725,14.932
338,3.1,ML,2017-09-18T00:53:47.050000Z,38.339,15.524
339,3.1,ML,2017-09-16T11:28:14.930000Z,42.652,12.677
340,3,ML,2017-09-09T18:12:29.240000Z,44.623,11.942
341,3,ML,2017-09-06T01:52:12.730000Z,35.431,15.229
342,3.4,ML,2017-09-02T00:45:31.350000Z,35.482,15.237
343,3.4,ML,2017-09-01T18:31:04.210000Z,38.544,13.186
344,3.1,ML,2017-09-01T10:15:51.690000Z,42.995,13.009
345,3,ML,2017-09-01T09:56:13.720000Z,42.995,13.009
346,3,ML,2017-08-26T20:46:21.210000Z,37.676,14.895
347,3.1,ML,2017-08-25T21:57:47.350000Z,37.603,14.988
348,4,ML,2017-08-25T17:10:45.340000Z,35.569,15.235
349,3.2,ML,2017-08-25T03:44:47.410000Z,43.099,13.184
350,3,ML,2017-08-21T17:37:13.530000Z,35.583,14.815
351,3,ML,2017-08-19T11:38:10.690000Z,37.668,14.894
352,3.1,ML,2017-08-15T19:25:33.450000Z,42.997,13.139
353,3,ML,2017-08-14T06:45:01.830000Z,42.611,13.225
354,3,ML,2017-08-13T15:43:39.430000Z,42.793,13.235
355,3.2,ML,2017-08-08T22:58:38.770000Z,43.059,13.302
356,3.3,ML,2017-08-08T14:29:25.790000Z,35.606,14.844
357,3.1,ML,2017-08-07T01:29:22.320000Z,42.82,13.172
358,3.5,ML,2017-07-30T21:19:33.890000Z,42.447,15.294
359,3.1,ML,2017-07-30T16:58:51.180000Z,39.624,15.643
360,3.1,ML,2017-07-30T08:05:26.880000Z,38.527,14.78
361,3,ML,2017-07-27T08:30:32.720000Z,37.532,14.985
362,3.1,ML,2017-07-27T05:39:39.740000Z,42.728,13.174
363,3,ML,2017-07-24T15:31:01.430000Z,43.014,13.08
364,3.1,ML,2017-07-19T20:16:53.460000Z,36.123,13.072
365,3.2,ML,2017-07-14T06:22:17.160000Z,38.967,17.05
366,3.4,ML,2017-07-10T03:16:27.720000Z,41.787,15.903
367,3.1,ML,2017-07-09T22:39:24.320000Z,42.791,13.145
368,3.4,ML,2017-07-08T05:17:39.930000Z,42.994,13.001
369,3.1,ML,2017-07-08T04:04:46.500000Z,42.995,13.005
370,3.2,ML,2017-07-01T19:12:26.730000Z,41.98,14.07
371,3.1,ML,2017-06-30T00:39:58.400000Z,43.657,12.076
372,3.1,ML,2017-06-29T08:55:46.070000Z,42.634,13.214
373,3.3,ML,2017-06-28T00:56:43.780000Z,42.773,13.221
374,3.2,ML,2017-06-27T07:23:19.580000Z,42.838,12.706
375,3.3,ML,2017-06-25T03:46:04.190000Z,38.041,15.281
376,3.6,ML,2017-06-23T14:15:15.400000Z,41.43,19.91
377,3.7,ML,2017-06-20T01:37:12.660000Z,44.204,11.517
378,3.3,ML,2017-06-17T19:45:40.160000Z,42.41,15.261
379,3.2,ML,2017-06-13T11:16:38.330000Z,42.506,15.35
380,3.3,ML,2017-06-13T05:17:40.860000Z,39.322,15.528
381,3,ML,2017-06-09T17:11:05.920000Z,43.128,11.014
382,3,ML,2017-06-04T02:59:20.260000Z,42.788,13.157
383,3,ML,2017-06-02T10:04:56.580000Z,43.6,11.171
384,3.1,ML,2017-05-30T05:45:21.170000Z,36,12.594
385,3.3,ML,2017-05-28T12:45:42.070000Z,38.645,15.634
386,3.1,ML,2017-05-28T11:55:46.480000Z,43.054,13.049
387,3,ML,2017-05-27T23:53:00.340000Z,39.76,15.828
388,3,ML,2017-05-21T07:56:44.840000Z,36.331,13.347
389,3,ML,2017-05-21T03:49:24.250000Z,38.852,17.311
390,3,ML,2017-05-19T16:22:48.970000Z,39.248,16.471
391,3.3,ML,2017-05-19T08:02:08.590000Z,42.82,13.133
392,3.3,ML,2017-05-17T15:43:10.710000Z,42.588,16.304
393,3.1,ML,2017-05-12T19:24:30.970000Z,42.805,13.14
394,3,ML,2017-05-11T16:15:20.920000Z,39.507,15.841
395,3.3,ML,2017-05-08T03:20:12.080000Z,42.418,15.236
396,3,ML,2017-05-05T16:25:31.490000Z,44.876,11.287
397,3.2,ML,2017-05-04T10:13:50.050000Z,42.919,13.142
398,3,ML,2017-05-01T00:31:19.960000Z,42.635,13.214
399,3,ML,2017-04-27T21:35:53.790000Z,42.965,13.055
400,3.2,ML,2017-04-27T21:09:36.830000Z,42.955,13.042
401,3.5,ML,2017-04-27T21:09:26.480000Z,42.956,13.047
402,3.2,ML,2017-04-26T23:53:32.140000Z,42.398,15.22
403,3.2,ML,2017-04-26T19:15:29.030000Z,44.835,11.425
